param_hidden_layer_sizes,param_activation,param_batch_size,param_max_iter,param_alpha,mean_test_score,rank_test_score,mean_train_score
"(17,)",identity,200,200,0.0001,-0.14641631052443396,386,-0.14588168250611155
"(17,)",identity,200,400,0.0001,-0.14529788547973096,219,-0.14475185064125068
"(17,)",identity,200,800,0.0001,-0.14651377374297328,404,-0.14444517377013705
"(19,)",identity,200,200,0.0001,-0.14590129385551406,287,-0.14599028051185176
"(19,)",identity,200,400,0.0001,-0.14594781271431398,294,-0.14491214629270474
"(19,)",identity,200,800,0.0001,-0.14617918407779007,346,-0.14469669409777575
"(21,)",identity,200,200,0.0001,-0.14650065075656676,396,-0.14585303778236397
"(21,)",identity,200,400,0.0001,-0.14486030464123534,139,-0.14466786939058515
"(21,)",identity,200,800,0.0001,-0.14486397458839706,141,-0.14439858010129042
"(1,)",identity,50,200,0.01,-0.14393295889176183,28,-0.14339102742279164
"(1,)",identity,50,400,0.01,-0.14480985113021572,136,-0.14339594530535069
"(1,)",identity,50,800,0.01,-0.14469782322561847,113,-0.14347808956829747
"(3,)",identity,50,200,0.01,-0.14589539717547298,286,-0.14564275821184153
"(3,)",identity,50,400,0.01,-0.14661509891995916,432,-0.14496827852057664
"(3,)",identity,50,800,0.01,-0.1465048284384197,400,-0.1449680802958351
"(5,)",identity,50,200,0.01,-0.1476783620611778,594,-0.14633775057655718
"(5,)",identity,50,400,0.01,-0.14502738154522404,170,-0.1445316516427389
"(5,)",identity,50,800,0.01,-0.14555049501927234,259,-0.144450853792337
"(7,)",identity,50,200,0.01,-0.14566338432341402,264,-0.1451253762412051
"(7,)",identity,50,400,0.01,-0.14455589846338673,93,-0.14463861516630017
"(7,)",identity,50,800,0.01,-0.14455589846338673,93,-0.14447694055781862
"(9,)",identity,50,200,0.01,-0.1451742158018779,195,-0.14506727043543505
"(9,)",identity,50,400,0.01,-0.14397973271375047,31,-0.14434085977028188
"(9,)",identity,50,800,0.01,-0.14431448007356198,57,-0.14450127714287964
"(11,)",identity,50,200,0.01,-0.14650003867799624,395,-0.14593496072049986
"(11,)",identity,50,400,0.01,-0.14495391755556294,152,-0.1447177805567765
"(11,)",identity,50,800,0.01,-0.14507791577602727,176,-0.14463651675520922
"(13,)",identity,50,200,0.01,-0.1460641065713431,319,-0.1455054855379326
"(13,)",identity,50,400,0.01,-0.14615547562337106,339,-0.14528679910123649
"(13,)",identity,50,800,0.01,-0.14615547562337106,339,-0.14528679910123649
"(15,)",identity,50,200,0.01,-0.14464521787034415,105,-0.14423279206566222
"(15,)",identity,50,400,0.01,-0.1438930134222999,23,-0.14460802382967175
"(15,)",identity,50,800,0.01,-0.1438930134222999,23,-0.14460802382967175
"(17,)",identity,50,200,0.01,-0.1445635667328132,97,-0.1442863346987259
"(17,)",identity,50,400,0.01,-0.14454293318887113,87,-0.14417570872813795
"(17,)",identity,50,800,0.01,-0.14454293318887113,87,-0.14417570872813795
"(19,)",identity,50,200,0.01,-0.14520640970113924,200,-0.14452606543611607
"(19,)",identity,50,400,0.01,-0.14450666092841866,83,-0.14463457228853213
"(19,)",identity,50,800,0.01,-0.14450666092841866,83,-0.14463457228853213
"(21,)",identity,50,200,0.01,-0.14455275174822627,91,-0.14453101625231296
"(21,)",identity,50,400,0.01,-0.1447963478610958,134,-0.1445520372340389
"(21,)",identity,50,800,0.01,-0.1447963478610958,134,-0.1445520372340389
"(1,)",identity,100,200,0.01,-0.1493974219211553,728,-0.14813505916987046
"(1,)",identity,100,400,0.01,-0.14376184211574158,15,-0.14374865068480192
"(1,)",identity,100,800,0.01,-0.1446700681863674,110,-0.14312024161475226
"(3,)",identity,100,200,0.01,-0.14746271998057825,566,-0.1475351497868787
"(3,)",identity,100,400,0.01,-0.1468485183017978,490,-0.14577538518985983
"(3,)",identity,100,800,0.01,-0.14633383022082097,372,-0.1456953967138756
"(5,)",identity,100,200,0.01,-0.14779817160978959,605,-0.14724298319034995
"(5,)",identity,100,400,0.01,-0.14685218414234408,492,-0.14504936578029057
"(5,)",identity,100,800,0.01,-0.14522302530039438,202,-0.14461477062210845
"(7,)",identity,100,200,0.01,-0.14695330441262194,502,-0.1453438591556277
"(7,)",identity,100,400,0.01,-0.14629426414235985,368,-0.14466611216141345
"(7,)",identity,100,800,0.01,-0.14551732803477052,254,-0.14504385568773354
"(9,)",identity,100,200,0.01,-0.14735520227542803,556,-0.14614800502518144
"(9,)",identity,100,400,0.01,-0.145486944112738,247,-0.14468660405249995
"(9,)",identity,100,800,0.01,-0.14473875080196835,121,-0.14490706354725744
"(11,)",identity,100,200,0.01,-0.14702144818000082,509,-0.14644283204044267
"(11,)",identity,100,400,0.01,-0.14542280462450227,237,-0.14534529716972605
"(11,)",identity,100,800,0.01,-0.14528800382416165,215,-0.1451236142137456
"(13,)",identity,100,200,0.01,-0.1480013683312716,618,-0.14644195452716532
"(13,)",identity,100,400,0.01,-0.14614921267618136,337,-0.1453676201704945
"(13,)",identity,100,800,0.01,-0.1463727705416491,376,-0.1451263768074185
"(15,)",identity,100,200,0.01,-0.14711937247652224,527,-0.14631037862020177
"(15,)",identity,100,400,0.01,-0.14443812228055994,74,-0.14519907446813726
"(15,)",identity,100,800,0.01,-0.14486321912129244,140,-0.14490206802422181
"(17,)",identity,100,200,0.01,-0.14516772983736137,192,-0.14510289968814266
"(17,)",identity,100,400,0.01,-0.14461072867302077,102,-0.14442348274169212
"(17,)",identity,100,800,0.01,-0.1443065325066934,56,-0.1443406992628846
"(19,)",identity,100,200,0.01,-0.1452263054793613,203,-0.1453967523310444
"(19,)",identity,100,400,0.01,-0.14532823571702652,224,-0.1445001670570288
"(19,)",identity,100,800,0.01,-0.1445597860068986,95,-0.14447598004331946
"(21,)",identity,100,200,0.01,-0.14463831401199045,104,-0.14499200897701722
"(21,)",identity,100,400,0.01,-0.14400467363882827,33,-0.14471753825932776
"(21,)",identity,100,800,0.01,-0.14400467363882827,33,-0.1447987155382017
"(1,)",identity,200,200,0.01,-0.15981019110728675,1036,-0.1581444844608745
"(1,)",identity,200,400,0.01,-0.1477132760845192,597,-0.1468867494494825
"(1,)",identity,200,800,0.01,-0.14377116261193254,17,-0.14380358197152665
"(3,)",identity,200,200,0.01,-0.1561046814168861,1025,-0.15530013754680794
"(3,)",identity,200,400,0.01,-0.14713140048241097,528,-0.14692165754031908
"(3,)",identity,200,800,0.01,-0.14521777952899084,201,-0.14574762092820912
"(5,)",identity,200,200,0.01,-0.1512637757974328,981,-0.15104394768152918
"(5,)",identity,200,400,0.01,-0.1483294350843427,635,-0.1468694047378602
"(5,)",identity,200,800,0.01,-0.14620117580210107,354,-0.14510379640459273
"(7,)",identity,200,200,0.01,-0.14654875146120283,416,-0.1458284756964982
"(7,)",identity,200,400,0.01,-0.14738883157144161,563,-0.1447527659070746
"(7,)",identity,200,800,0.01,-0.1456543390090972,262,-0.14526138135173772
"(9,)",identity,200,200,0.01,-0.15098752807883678,957,-0.1497868676062926
"(9,)",identity,200,400,0.01,-0.14662625904608834,437,-0.14552712072534071
"(9,)",identity,200,800,0.01,-0.14543686061149516,243,-0.14517444534822116
"(11,)",identity,200,200,0.01,-0.14780058582331898,606,-0.14795777390335932
"(11,)",identity,200,400,0.01,-0.14618944254654315,348,-0.14617658627517938
"(11,)",identity,200,800,0.01,-0.14623087458651005,361,-0.1455060716347915
"(13,)",identity,200,200,0.01,-0.14813988507898296,625,-0.14716270407265286
"(13,)",identity,200,400,0.01,-0.14702321426643108,511,-0.14619974914100237
"(13,)",identity,200,800,0.01,-0.1471528353568744,535,-0.14537037187085616
"(15,)",identity,200,200,0.01,-0.14866869161728338,651,-0.148116251081934
"(15,)",identity,200,400,0.01,-0.14660419947448053,427,-0.1456365441951965
"(15,)",identity,200,800,0.01,-0.14509878503471604,183,-0.14520647979665852
"(17,)",identity,200,200,0.01,-0.14641631052443396,386,-0.14569427150688963
"(17,)",identity,200,400,0.01,-0.145409024252888,236,-0.14480598386502663
"(17,)",identity,200,800,0.01,-0.14702870271921656,512,-0.14458524882002619
"(19,)",identity,200,200,0.01,-0.14590129385551406,287,-0.1458561960083329
"(19,)",identity,200,400,0.01,-0.14595404077014046,299,-0.1449942407361653
"(19,)",identity,200,800,0.01,-0.1465958321854388,424,-0.1446426224788347
"(21,)",identity,200,200,0.01,-0.14650065075656676,396,-0.14588082162782337
"(21,)",identity,200,400,0.01,-0.14508540418136356,178,-0.14458722970487997
"(21,)",identity,200,800,0.01,-0.1449816572428903,158,-0.14423637402941056
"(1,)",identity,50,200,1,-0.14926469155692684,711,-0.14948015083808133
"(1,)",identity,50,400,1,-0.14927900235245475,712,-0.14942887039573874
"(1,)",identity,50,800,1,-0.14927900235245475,712,-0.14942887039573874
"(3,)",identity,50,200,1,-0.14873408302942007,655,-0.14955724004950155
"(3,)",identity,50,400,1,-0.14961859366959168,772,-0.14963835836865508
"(3,)",identity,50,800,1,-0.14961859366959168,772,-0.14963835836865508
"(5,)",identity,50,200,1,-0.14873162998602935,654,-0.14958301227318832
"(5,)",identity,50,400,1,-0.14959201745795192,761,-0.14948006219759763
"(5,)",identity,50,800,1,-0.14959201745795192,761,-0.14948006219759763
"(7,)",identity,50,200,1,-0.1496784905613604,779,-0.1498456999828264
"(7,)",identity,50,400,1,-0.14958293853740995,758,-0.14981993837439056
"(7,)",identity,50,800,1,-0.14958293853740995,758,-0.14981993837439056
"(9,)",identity,50,200,1,-0.149487835632288,741,-0.1499529823692688
"(9,)",identity,50,400,1,-0.14969594064205247,784,-0.1497684224053333
"(9,)",identity,50,800,1,-0.14969594064205247,784,-0.1497684224053333
"(11,)",identity,50,200,1,-0.14906776307782688,692,-0.14953159570628016
"(11,)",identity,50,400,1,-0.1488633755195821,674,-0.14997798551707503
"(11,)",identity,50,800,1,-0.1488633755195821,674,-0.14997798551707503
"(13,)",identity,50,200,1,-0.14948963761572126,742,-0.14960945392184036
"(13,)",identity,50,400,1,-0.14884452035277246,667,-0.14979106807348908
