param_hidden_layer_sizes,param_activation,param_batch_size,param_max_iter,mean_test_score,rank_test_score,mean_train_score
"(17,)",logistic,50,200,-0.16191020986981805,274,-0.16171432836317587
"(17,)",logistic,50,400,-0.16191020986981805,274,-0.16171432836317587
"(17,)",logistic,50,800,-0.16191020986981805,274,-0.16171432836317587
"(19,)",logistic,50,200,-0.1605188193215427,265,-0.1603193925796881
"(19,)",logistic,50,400,-0.1605188193215427,265,-0.1603193925796881
"(19,)",logistic,50,800,-0.1605188193215427,265,-0.1603193925796881
"(21,)",logistic,50,200,-0.13564144752699098,31,-0.13496005688844842
"(21,)",logistic,50,400,-0.13564144752699098,31,-0.13496005688844842
"(21,)",logistic,50,800,-0.13564144752699098,31,-0.13496005688844842
"(1,)",logistic,100,200,-0.16525753943439886,316,-0.16514346451903278
"(1,)",logistic,100,400,-0.16525753943439886,316,-0.16514346451903278
"(1,)",logistic,100,800,-0.16525753943439886,316,-0.16514346451903278
"(3,)",logistic,100,200,-0.16046568383845233,262,-0.16035318567105095
"(3,)",logistic,100,400,-0.16046568383845233,262,-0.16035318567105095
"(3,)",logistic,100,800,-0.16046568383845233,262,-0.16035318567105095
"(5,)",logistic,100,200,-0.162671961303229,289,-0.16251175829078818
"(5,)",logistic,100,400,-0.162671961303229,289,-0.16251175829078818
"(5,)",logistic,100,800,-0.162671961303229,289,-0.16251175829078818
"(7,)",logistic,100,200,-0.1430927931496047,127,-0.14251606787385954
"(7,)",logistic,100,400,-0.1430927931496047,127,-0.14251606787385954
"(7,)",logistic,100,800,-0.1430927931496047,127,-0.14251606787385954
"(9,)",logistic,100,200,-0.15778855864098543,238,-0.1575847939729446
"(9,)",logistic,100,400,-0.15778855864098543,238,-0.1575847939729446
"(9,)",logistic,100,800,-0.15778855864098543,238,-0.1575847939729446
"(11,)",logistic,100,200,-0.15668498793451963,229,-0.15648334593776117
"(11,)",logistic,100,400,-0.15668498793451963,229,-0.15648334593776117
"(11,)",logistic,100,800,-0.15668498793451963,229,-0.15648334593776117
"(13,)",logistic,100,200,-0.13927018192572888,94,-0.1382046481979456
"(13,)",logistic,100,400,-0.13927018192572888,94,-0.1382046481979456
"(13,)",logistic,100,800,-0.13927018192572888,94,-0.1382046481979456
"(15,)",logistic,100,200,-0.15893764139895628,253,-0.15865345716476237
"(15,)",logistic,100,400,-0.15893764139895628,253,-0.15865345716476237
"(15,)",logistic,100,800,-0.15893764139895628,253,-0.15865345716476237
"(17,)",logistic,100,200,-0.16333318399221794,295,-0.16318023902902826
"(17,)",logistic,100,400,-0.16333318399221794,295,-0.16318023902902826
"(17,)",logistic,100,800,-0.16333318399221794,295,-0.16318023902902826
"(19,)",logistic,100,200,-0.16215381769210438,283,-0.16200968272463587
"(19,)",logistic,100,400,-0.16215381769210438,283,-0.16200968272463587
"(19,)",logistic,100,800,-0.16215381769210438,283,-0.16200968272463587
"(21,)",logistic,100,200,-0.1463925364826447,154,-0.1458287058489771
"(21,)",logistic,100,400,-0.1463925364826447,154,-0.1458287058489771
"(21,)",logistic,100,800,-0.1463925364826447,154,-0.1458287058489771
"(1,)",logistic,200,200,-0.16735963143392696,319,-0.16723215059183485
"(1,)",logistic,200,400,-0.16735963143392696,319,-0.16723215059183485
"(1,)",logistic,200,800,-0.16735963143392696,319,-0.16723215059183485
"(3,)",logistic,200,200,-0.16166085136101882,268,-0.16161504928818923
"(3,)",logistic,200,400,-0.16166085136101882,268,-0.16161504928818923
"(3,)",logistic,200,800,-0.16166085136101882,268,-0.16161504928818923
"(5,)",logistic,200,200,-0.16335142165807878,298,-0.1631789293269078
"(5,)",logistic,200,400,-0.16335142165807878,298,-0.1631789293269078
"(5,)",logistic,200,800,-0.16335142165807878,298,-0.1631789293269078
"(7,)",logistic,200,200,-0.15344321316132203,205,-0.15343758899954868
"(7,)",logistic,200,400,-0.15344321316132203,205,-0.15343758899954868
"(7,)",logistic,200,800,-0.15344321316132203,205,-0.15343758899954868
"(9,)",logistic,200,200,-0.15872234885019132,247,-0.15853698048751294
"(9,)",logistic,200,400,-0.15872234885019132,247,-0.15853698048751294
"(9,)",logistic,200,800,-0.15872234885019132,247,-0.15853698048751294
"(11,)",logistic,200,200,-0.15786007156222553,241,-0.15765425996088372
"(11,)",logistic,200,400,-0.15786007156222553,241,-0.15765425996088372
"(11,)",logistic,200,800,-0.15786007156222553,241,-0.15765425996088372
"(13,)",logistic,200,200,-0.15368695586704534,208,-0.15318661940852524
"(13,)",logistic,200,400,-0.15368695586704534,208,-0.15318661940852524
"(13,)",logistic,200,800,-0.15368695586704534,208,-0.15318661940852524
"(15,)",logistic,200,200,-0.16257734839581386,286,-0.16245371471115716
"(15,)",logistic,200,400,-0.16257734839581386,286,-0.16245371471115716
"(15,)",logistic,200,800,-0.16257734839581386,286,-0.16245371471115716
"(17,)",logistic,200,200,-0.16413390001397601,304,-0.16398284547408398
"(17,)",logistic,200,400,-0.16413390001397601,304,-0.16398284547408398
"(17,)",logistic,200,800,-0.16413390001397601,304,-0.16398284547408398
"(19,)",logistic,200,200,-0.16294362685510863,292,-0.16283547677674526
"(19,)",logistic,200,400,-0.16294362685510863,292,-0.16283547677674526
"(19,)",logistic,200,800,-0.16294362685510863,292,-0.16283547677674526
"(21,)",logistic,200,200,-0.15944029117617795,256,-0.1592479915729245
"(21,)",logistic,200,400,-0.15944029117617795,256,-0.1592479915729245
"(21,)",logistic,200,800,-0.15944029117617795,256,-0.1592479915729245
