param_hidden_layer_sizes,param_activation,param_batch_size,param_max_iter,mean_test_score,rank_test_score,mean_train_score
"(15,)",logistic,50,200,-0.7978001274597103,62,-0.7738368277908643
"(15,)",logistic,50,400,-0.7867692351031916,13,-0.7441273296758351
"(15,)",logistic,50,800,-0.7874784321104353,16,-0.7078482430769961
"(17,)",logistic,50,200,-0.7962726995213385,56,-0.7736058335054004
"(17,)",logistic,50,400,-0.7866825362344064,11,-0.7413648943017213
"(17,)",logistic,50,800,-0.7994697217364386,71,-0.6968565205719465
"(19,)",logistic,50,200,-0.7948284436732694,50,-0.7681834656506332
"(19,)",logistic,50,400,-0.7867587296244747,12,-0.7329905499501341
"(19,)",logistic,50,800,-0.7938530447096015,45,-0.6918347917741702
"(21,)",logistic,50,200,-0.7909415712952506,31,-0.7628556261892024
"(21,)",logistic,50,400,-0.7857179967324445,7,-0.7327443448064286
"(21,)",logistic,50,800,-0.7976553349033956,59,-0.6946377280365337
"(1,)",logistic,100,200,-0.8242362299620307,359,-0.8096602256024971
"(1,)",logistic,100,400,-0.8235171531129278,353,-0.8081657947607702
"(1,)",logistic,100,800,-0.8235171531129278,353,-0.8081657947607702
"(3,)",logistic,100,200,-0.8126410649500047,181,-0.7983413982541852
"(3,)",logistic,100,400,-0.8125864376195162,179,-0.7982740400192021
"(3,)",logistic,100,800,-0.8125864376195162,179,-0.7982740400192021
"(5,)",logistic,100,200,-0.8099287895008509,133,-0.7931350818339125
"(5,)",logistic,100,400,-0.8007475465138739,77,-0.7760638243295264
"(5,)",logistic,100,800,-0.7980907216077442,64,-0.7683465098962202
"(7,)",logistic,100,200,-0.8082924304362219,114,-0.7933686824853333
"(7,)",logistic,100,400,-0.8083628035818018,117,-0.7932773719534933
"(7,)",logistic,100,800,-0.8083628035818018,117,-0.7932773719534933
"(9,)",logistic,100,200,-0.8083197862995437,116,-0.7918736009685144
"(9,)",logistic,100,400,-0.8028651654362602,83,-0.7775982566646055
"(9,)",logistic,100,800,-0.802211870869441,81,-0.7644292950593724
"(11,)",logistic,100,200,-0.8015208193016475,79,-0.7826482766689771
"(11,)",logistic,100,400,-0.7908863007632722,29,-0.7603617527420475
"(11,)",logistic,100,800,-0.7840772269852866,5,-0.7370636857551383
"(13,)",logistic,100,200,-0.8040785753025981,86,-0.7866100622151907
"(13,)",logistic,100,400,-0.7876489111569863,17,-0.7607528752618223
"(13,)",logistic,100,800,-0.7824201585455983,3,-0.7302912014511003
"(15,)",logistic,100,200,-0.8057300523348992,100,-0.7866815502262946
"(15,)",logistic,100,400,-0.79329892504328,40,-0.7640294257619639
"(15,)",logistic,100,800,-0.7884427597233341,21,-0.7319602063126961
"(17,)",logistic,100,200,-0.8051118319885988,95,-0.7888765521271499
"(17,)",logistic,100,400,-0.7917514025427865,37,-0.7626109416822704
"(17,)",logistic,100,800,-0.7877500535478642,19,-0.7327867074690564
"(19,)",logistic,100,200,-0.8041686899517604,88,-0.7851685304175022
"(19,)",logistic,100,400,-0.790225998378963,27,-0.7554906432431924
"(19,)",logistic,100,800,-0.7859764397645477,9,-0.7193224903096074
"(21,)",logistic,100,200,-0.8006146678693826,75,-0.7801841456611746
"(21,)",logistic,100,400,-0.7873159132533563,14,-0.749923602873304
"(21,)",logistic,100,800,-0.7858495098163146,8,-0.725094768368951
"(1,)",logistic,200,200,-0.843682472423158,389,-0.8345676032063475
"(1,)",logistic,200,400,-0.8257829847174041,366,-0.8127953672311156
"(1,)",logistic,200,800,-0.8257829847174041,366,-0.8127953672311156
"(3,)",logistic,200,200,-0.8161229044021956,217,-0.8039141047160708
"(3,)",logistic,200,400,-0.8159548021646807,211,-0.8033880123431469
"(3,)",logistic,200,800,-0.8159548021646807,211,-0.8033880123431469
"(5,)",logistic,200,200,-0.8160419863997594,216,-0.802338222412553
"(5,)",logistic,200,400,-0.815118569325578,199,-0.8017307048638023
"(5,)",logistic,200,800,-0.815118569325578,199,-0.8017307048638023
"(7,)",logistic,200,200,-0.812832396617573,183,-0.800265027505246
"(7,)",logistic,200,400,-0.8129142749664394,186,-0.8000302654363475
"(7,)",logistic,200,800,-0.8129142749664394,186,-0.8000302654363475
"(9,)",logistic,200,200,-0.8115984737300428,160,-0.7984690663046783
"(9,)",logistic,200,400,-0.8115984737300428,160,-0.7984690663046783
"(9,)",logistic,200,800,-0.8115984737300428,160,-0.7984690663046783
"(11,)",logistic,200,200,-0.8084631971662569,120,-0.7940307518207914
"(11,)",logistic,200,400,-0.8067404796432338,104,-0.7869712704869338
"(11,)",logistic,200,800,-0.8083072435401828,115,-0.7841003706514886
"(13,)",logistic,200,200,-0.8125554784782192,177,-0.7976452537480647
"(13,)",logistic,200,400,-0.8121669683797388,169,-0.7925768136575908
"(13,)",logistic,200,800,-0.8125815915903833,178,-0.7843424235262736
"(15,)",logistic,200,200,-0.811283894286159,152,-0.797570838483925
"(15,)",logistic,200,400,-0.8106879149301083,141,-0.7970823770394706
"(15,)",logistic,200,800,-0.8106879149301083,141,-0.7970823770394706
"(17,)",logistic,200,200,-0.8114313494730275,154,-0.7992391327354502
"(17,)",logistic,200,400,-0.8114313494730275,154,-0.7992391327354502
"(17,)",logistic,200,800,-0.8114313494730275,154,-0.7992391327354502
"(19,)",logistic,200,200,-0.8107228253161031,143,-0.7972481617943386
"(19,)",logistic,200,400,-0.8104398761173754,138,-0.7968385988290441
"(19,)",logistic,200,800,-0.8104398761173754,138,-0.7968385988290441
"(21,)",logistic,200,200,-0.8086501654471661,122,-0.7941477712513438
"(21,)",logistic,200,400,-0.807815541824269,112,-0.785738675517055
"(21,)",logistic,200,800,-0.8044184900575327,89,-0.7765517490505118
"(1,)",tanh,50,200,-0.8214030382246763,337,-0.8027162388637119
"(1,)",tanh,50,400,-0.8195102642936527,297,-0.8000782941700109
"(1,)",tanh,50,800,-0.8195102642936527,297,-0.8000782941700109
"(3,)",tanh,50,200,-0.8187399062349616,294,-0.773716712862634
"(3,)",tanh,50,400,-0.817860811541278,262,-0.7641664321123826
"(3,)",tanh,50,800,-0.8166970471564348,231,-0.763266887918736
"(5,)",tanh,50,200,-0.7882642099611384,20,-0.7426476772767665
"(5,)",tanh,50,400,-0.7952047801273296,51,-0.7308912840939767
"(5,)",tanh,50,800,-0.7952047801273296,51,-0.7308912840939767
"(7,)",tanh,50,200,-0.7998947250999784,72,-0.7444737376374977
"(7,)",tanh,50,400,-0.8065720912191084,103,-0.727642166498049
"(7,)",tanh,50,800,-0.8101424361740855,135,-0.7216496697320225
"(9,)",tanh,50,200,-0.7994019431560501,70,-0.7303854040347237
"(9,)",tanh,50,400,-0.8227731415543242,348,-0.7037949349760371
"(9,)",tanh,50,800,-0.8266598047320761,368,-0.698153215320819
"(11,)",tanh,50,200,-0.7939593303639689,46,-0.7091130111691427
